Stock,Type,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
AMBUJACEM,SHORT,2025-11-11 09:39:00,2025-11-11 09:57:00,553.75,554.0,-0.04514672686230248
AMBUJACEM,LONG,2025-11-12 09:45:00,2025-11-12 10:04:00,563.55,565.4,0.32827610682282365
AMBUJACEM,LONG,2025-11-14 09:47:00,2025-11-14 09:51:00,564.5,563.2,-0.23029229406553667
AMBUJACEM,LONG,2025-11-20 09:16:00,2025-11-20 09:25:00,559.7,558.9,-0.14293371448991748
ANGELONE,LONG,2025-11-10 09:40:00,2025-11-10 09:54:00,2663.3,2655.9,-0.27785078661810875
ANGELONE,LONG,2025-11-12 09:16:00,2025-11-12 09:20:00,2655.1,2646.6,-0.32013860118262966
ANGELONE,LONG,2025-11-12 09:34:00,2025-11-12 09:58:00,2679.8,2698.0,0.6791551608328912
ANGELONE,LONG,2025-11-20 09:36:00,2025-11-20 09:40:00,2830.1,2821.3,-0.3109430762163785
ANGELONE,SHORT,2025-11-21 09:16:00,2025-11-21 09:21:00,2800.1,2804.4,-0.15356594407343244
APLAPOLLO,LONG,2025-11-06 09:20:00,2025-11-06 09:28:00,1799.1,1794.0,-0.28347507086876267
APOLLOHOSP,SHORT,2025-11-13 09:16:00,2025-11-13 09:24:00,7453.5,7457.0,-0.04695780505802643
APOLLOHOSP,SHORT,2025-11-18 09:50:00,2025-11-18 10:03:00,7422.5,7412.0,0.14146177164028292
APOLLOHOSP,SHORT,2025-11-24 09:17:00,2025-11-24 09:18:00,7363.0,7378.0,-0.20372130924894744
APOLLOTYRE,LONG,2025-11-04 09:44:00,2025-11-04 09:52:00,520.55,519.5,-0.20170973009316198
APOLLOTYRE,SHORT,2025-11-07 09:41:00,2025-11-07 09:50:00,499.5,499.85,-0.07007007007007462
APOLLOTYRE,LONG,2025-11-10 09:45:00,2025-11-10 09:51:00,522.45,521.0,-0.277538520432586
APOLLOTYRE,LONG,2025-11-12 09:50:00,2025-11-12 09:56:00,526.65,526.2,-0.08544574195384635
APOLLOTYRE,LONG,2025-11-17 09:16:00,2025-11-17 09:27:00,533.65,531.65,-0.37477747587370003
APOLLOTYRE,SHORT,2025-11-17 09:56:00,2025-11-17 10:01:00,524.3,525.8,-0.2860957467098989
APOLLOTYRE,LONG,2025-11-21 09:38:00,2025-11-21 09:46:00,521.45,520.9,-0.10547511746093934
ASHOKLEY,LONG,2025-11-06 09:16:00,2025-11-06 09:28:00,141.91,142.96,0.7399055739553319
ASHOKLEY,LONG,2025-11-10 09:53:00,2025-11-10 10:01:00,142.91,142.4,-0.3568679588552172
ASHOKLEY,LONG,2025-11-13 09:25:00,2025-11-13 09:36:00,149.73,149.18,-0.3673278568089114
ASIANPAINT,LONG,2025-11-06 09:16:00,2025-11-06 09:28:00,2585.3,2588.0,0.1044366224422627
ASIANPAINT,LONG,2025-11-10 09:18:00,2025-11-10 09:30:00,2652.9,2653.0,0.0037694598364020147
ASIANPAINT,SHORT,2025-11-17 09:59:00,2025-11-17 10:08:00,2898.8,2900.0,-0.04139643990616179
ASIANPAINT,LONG,2025-11-18 09:47:00,2025-11-18 09:57:00,2899.2,2895.2,-0.13796909492273732
ASTRAL,LONG,2025-11-04 09:52:00,2025-11-04 10:00:00,1477.7,1475.7,-0.13534546931041483
ASTRAL,LONG,2025-11-06 09:16:00,2025-11-06 09:31:00,1507.4,1515.8,0.5572508955817874
ASTRAL,LONG,2025-11-10 09:57:00,2025-11-10 10:03:00,1569.6,1568.3,-0.0828236493374079
ASTRAL,SHORT,2025-11-13 09:20:00,2025-11-13 09:33:00,1560.1,1562.0,-0.12178706493174098
ASTRAL,SHORT,2025-11-14 09:16:00,2025-11-14 09:23:00,1537.7,1541.1,-0.22110944917733388
