Stock,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
NHPC,2025-11-10 12:09:00,2025-11-10 12:19:00,81.91,81.84,-0.08545965083627541
GMRAIRPORT,2025-11-03 14:23:00,2025-11-03 14:27:00,93.54,93.46,-0.08552490912979742
NCC,2025-11-12 15:17:00,2025-11-12 15:22:00,186.93,186.77,-0.08559353768790273
HAL,2025-11-10 13:37:00,2025-11-10 13:44:00,4787.5,4783.4,-0.0856396866840807
GLENMARK,2025-11-20 14:30:00,2025-11-20 14:37:00,1868.1,1866.5,-0.08564851988651084
PHOENIXLTD,2025-11-17 14:11:00,2025-11-17 14:18:00,1750.0,1748.5,-0.08571428571428572
LTIM,2025-11-14 11:53:00,2025-11-14 12:04:00,5832.0,5827.0,-0.08573388203017833
M&M,2025-11-19 10:02:00,2025-11-19 10:06:00,3720.6,3717.4,-0.08600763317743962
POLICYBZR,2025-11-19 11:57:00,2025-11-19 12:07:00,1860.1,1858.5,-0.08601688081285463
INFY,2025-11-17 14:00:00,2025-11-17 14:07:00,1508.3,1507.0,-0.08618975004972185
GODREJCP,2025-11-04 14:22:00,2025-11-04 14:32:00,1160.2,1159.2,-0.0861920358558869
POLICYBZR,2025-11-20 13:47:00,2025-11-20 13:56:00,1856.0,1854.4,-0.08620689655171923
GAIL,2025-11-17 13:00:00,2025-11-17 13:05:00,184.92,184.76,-0.08652390222798864
AXISBANK,2025-11-18 13:03:00,2025-11-18 13:18:00,1269.9,1268.8,-0.08662099377904846
PAGEIND,2025-11-10 15:00:00,2025-11-10 15:08:00,40280.0,40245.0,-0.0868917576961271
VBL,2025-11-14 14:09:00,2025-11-14 14:17:00,459.55,459.15,-0.08704167120009446
SAIL,2025-11-06 14:13:00,2025-11-06 14:16:00,137.85,137.73,-0.08705114254624922
LICHSGFIN,2025-11-10 11:46:00,2025-11-10 11:49:00,573.5,573.0,-0.08718395815170009
GAIL,2025-11-14 15:06:00,2025-11-14 15:13:00,183.48,183.32,-0.08720296490080477
GODREJCP,2025-11-18 11:59:00,2025-11-18 12:05:00,1145.0,1144.0,-0.08733624454148471
TIINDIA,2025-11-11 12:31:00,2025-11-11 12:39:00,2972.6,2970.0,-0.0874655184013964
LUPIN,2025-11-13 10:14:00,2025-11-13 10:25:00,2056.9,2055.1,-0.08751033108076142
GAIL,2025-11-12 13:15:00,2025-11-12 13:23:00,182.76,182.6,-0.08754650908294845
PIDILITIND,2025-11-17 12:53:00,2025-11-17 13:04:00,1484.8,1483.5,-0.08755387931034177
PAGEIND,2025-11-06 14:31:00,2025-11-06 14:39:00,39950.0,39915.0,-0.08760951188986232
GODREJCP,2025-11-12 14:36:00,2025-11-12 14:38:00,1137.2,1136.2,-0.08793527963418923
DMART,2025-11-20 13:41:00,2025-11-20 13:49:00,4091.6,4088.0,-0.0879851402874159
INDUSINDBK,2025-11-04 13:37:00,2025-11-04 13:41:00,795.0,794.3,-0.08805031446541453
HUDCO,2025-11-11 14:00:00,2025-11-11 14:05:00,227.01,226.81,-0.08810184573366311
NAUKRI,2025-11-12 13:35:00,2025-11-12 13:40:00,1361.4,1360.2,-0.08814455707360404
GRASIM,2025-11-24 11:28:00,2025-11-24 11:34:00,2721.7,2719.3,-0.08818018150419357
MOTHERSON,2025-11-20 11:29:00,2025-11-20 11:36:00,112.79,112.69,-0.08866034222892856
BANKINDIA,2025-11-10 09:15:00,2025-11-10 09:24:00,146.22,146.09,-0.08890712624811617
PETRONET,2025-11-12 13:14:00,2025-11-12 13:21:00,281.05,280.8,-0.08895214374666428
LODHA,2025-11-12 10:46:00,2025-11-12 10:55:00,1236.3,1235.2,-0.0889751678395138
PNB,2025-11-19 13:05:00,2025-11-19 13:11:00,123.62,123.51,-0.08898236531305567
ICICIPRULI,2025-11-21 11:20:00,2025-11-21 11:25:00,616.0,615.45,-0.0892857142857069
FORTIS,2025-11-06 11:10:00,2025-11-06 11:21:00,1006.9,1006.0,-0.08938325553679385
PIDILITIND,2025-11-07 14:33:00,2025-11-07 14:41:00,1454.4,1453.1,-0.08938393839385189
HAL,2025-11-07 11:16:00,2025-11-07 11:22:00,4579.9,4575.8,-0.08952160527521244
GLENMARK,2025-11-03 13:17:00,2025-11-03 13:22:00,1897.5,1895.8,-0.08959156785243982
KPITTECH,2025-11-12 10:29:00,2025-11-12 10:37:00,1226.9,1225.8,-0.08965685874970546
POWERGRID,2025-11-21 12:21:00,2025-11-21 12:37:00,278.55,278.3,-0.08975049362771495
MPHASIS,2025-11-06 14:47:00,2025-11-06 14:54:00,2783.5,2781.0,-0.08981498113885396
LODHA,2025-11-11 14:35:00,2025-11-11 14:41:00,1224.3,1223.2,-0.08984725965857299
POWERGRID,2025-11-21 11:20:00,2025-11-21 11:25:00,277.5,277.25,-0.09009009009009009
SONACOMS,2025-11-12 14:28:00,2025-11-12 14:36:00,498.9,498.45,-0.09019843656043068
DMART,2025-11-20 11:35:00,2025-11-20 11:38:00,4088.0,4084.3,-0.09050880626222646
INDIANB,2025-11-03 14:39:00,2025-11-03 14:46:00,880.6,879.8,-0.09084714967068683
DMART,2025-11-13 10:19:00,2025-11-13 10:20:00,4071.7,4068.0,-0.09087113490679123
LICI,2025-11-07 13:41:00,2025-11-07 13:49:00,934.4,933.55,-0.0909674657534271
PETRONET,2025-11-11 12:32:00,2025-11-11 12:34:00,274.5,274.25,-0.09107468123861566
BANKINDIA,2025-11-04 10:38:00,2025-11-04 10:44:00,142.58,142.45,-0.09117688315333418
BANKINDIA,2025-11-03 15:10:00,2025-11-03 15:18:00,142.33,142.2,-0.0913370336542007
HAL,2025-11-12 13:27:00,2025-11-12 13:30:00,4906.5,4902.0,-0.09171507184347294
NTPC,2025-11-11 13:21:00,2025-11-11 13:25:00,326.5,326.2,-0.09188361408882431
PRESTIGE,2025-11-07 13:02:00,2025-11-07 13:04:00,1741.1,1739.5,-0.0918959278616914
CDSL,2025-11-17 10:23:00,2025-11-17 10:30:00,1630.6,1629.1,-0.09199067827793452
NTPC,2025-11-11 14:55:00,2025-11-11 14:57:00,326.05,325.75,-0.09201042784849298
HAL,2025-11-10 11:52:00,2025-11-10 11:56:00,4781.1,4776.7,-0.0920290309761466
HFCL,2025-11-14 11:53:00,2025-11-14 11:59:00,76.03,75.96,-0.09206892016310324
HFCL,2025-11-14 10:58:00,2025-11-14 11:04:00,76.0,75.93,-0.09210526315788575
OIL,2025-11-11 13:01:00,2025-11-11 13:09:00,433.9,433.5,-0.09218713989397956
ADANIGREEN,2025-11-13 12:41:00,2025-11-13 12:53:00,1084.6,1083.6,-0.09219988936013278
POWERGRID,2025-11-14 10:57:00,2025-11-14 11:05:00,271.1,270.85,-0.09221689413500551
OIL,2025-11-18 11:50:00,2025-11-18 11:56:00,433.5,433.1,-0.09227220299884135
HDFCAMC,2025-11-20 09:15:00,2025-11-20 09:22:00,5409.5,5404.5,-0.09242998428690267
NATIONALUM,2025-11-13 13:37:00,2025-11-13 13:50:00,270.1,269.85,-0.09255831173639392
HDFCAMC,2025-11-07 12:21:00,2025-11-07 12:32:00,5399.0,5394.0,-0.09260974254491572
HAL,2025-11-11 12:33:00,2025-11-11 12:37:00,4858.5,4854.0,-0.09262117937635073
ANGELONE,2025-11-19 11:40:00,2025-11-19 11:45:00,2806.6,2804.0,-0.09263878001852452
SONACOMS,2025-11-07 12:02:00,2025-11-07 12:07:00,485.05,484.6,-0.09277394083083984
LICI,2025-11-18 12:02:00,2025-11-18 12:06:00,915.1,914.25,-0.09288602338542484
NESTLEIND,2025-11-13 11:38:00,2025-11-13 11:41:00,1288.0,1286.8,-0.09316770186335757
PERSISTENT,2025-11-03 11:00:00,2025-11-03 11:07:00,5899.0,5893.5,-0.09323614171893542
GRASIM,2025-11-04 11:19:00,2025-11-04 11:22:00,2894.2,2891.5,-0.09329002833252084
NATIONALUM,2025-11-07 11:13:00,2025-11-07 11:22:00,235.42,235.2,-0.09345000424772698
MARUTI,2025-11-24 13:23:00,2025-11-24 13:26:00,16035.0,16020.0,-0.09354536950420954
HDFCLIFE,2025-11-04 13:18:00,2025-11-04 13:27:00,748.2,747.5,-0.09355787222668344
INFY,2025-11-10 09:15:00,2025-11-10 09:23:00,1495.0,1493.6,-0.09364548494983886
GRASIM,2025-11-13 10:21:00,2025-11-13 10:26:00,2770.0,2767.4,-0.09386281588447326
LICI,2025-11-11 13:18:00,2025-11-11 13:20:00,902.1,901.25,-0.09422458707460622
POLICYBZR,2025-11-03 12:58:00,2025-11-03 13:04:00,1799.7,1798.0,-0.09446018780908182
NESTLEIND,2025-11-17 13:21:00,2025-11-17 13:23:00,1268.5,1267.3,-0.09459992116673595
MPHASIS,2025-11-20 12:46:00,2025-11-20 12:56:00,2747.4,2744.8,-0.09463492756787904
DELHIVERY,2025-11-21 13:58:00,2025-11-21 14:02:00,421.75,421.35,-0.09484291641967452
HAVELLS,2025-11-17 10:40:00,2025-11-17 10:52:00,1476.0,1474.6,-0.09485094850949126
LICI,2025-11-24 13:49:00,2025-11-24 13:52:00,895.95,895.1,-0.09487136558960017
KEI,2025-11-13 09:45:00,2025-11-13 09:54:00,4103.9,4100.0,-0.09503155534978036
HAVELLS,2025-11-13 11:30:00,2025-11-13 11:37:00,1470.5,1469.1,-0.09520571234274676
JIOFIN,2025-11-14 12:28:00,2025-11-14 12:32:00,314.9,314.6,-0.09526833915527295
JIOFIN,2025-11-14 13:27:00,2025-11-14 13:35:00,314.7,314.4,-0.09532888465205319
NATIONALUM,2025-11-06 13:27:00,2025-11-06 13:34:00,230.45,230.23,-0.09546539379474892
CGPOWER,2025-11-07 11:37:00,2025-11-07 11:41:00,732.7,732.0,-0.09553705472909041
TATAELXSI,2025-11-11 11:16:00,2025-11-11 11:23:00,5224.0,5219.0,-0.09571209800918837
HEROMOTOCO,2025-11-17 11:10:00,2025-11-17 11:17:00,5745.5,5740.0,-0.09572709076668696
BANKINDIA,2025-11-11 13:38:00,2025-11-11 13:44:00,145.95,145.81,-0.09592326139087795
RECLTD,2025-11-07 12:23:00,2025-11-07 12:36:00,364.65,364.3,-0.09598244892361604
INDIANB,2025-11-19 12:12:00,2025-11-19 12:19:00,885.55,884.7,-0.09598554570604811
GMRAIRPORT,2025-11-20 11:24:00,2025-11-20 11:30:00,104.1,104.0,-0.09606147934677649
KEI,2025-11-07 14:29:00,2025-11-07 14:36:00,3948.9,3945.1,-0.09622932968675281
LICHSGFIN,2025-11-17 10:22:00,2025-11-17 10:28:00,571.3,570.75,-0.0962716611237449
NATIONALUM,2025-11-20 13:59:00,2025-11-20 14:04:00,259.6,259.35,-0.09630200308166409
HFCL,2025-11-21 12:24:00,2025-11-21 12:31:00,72.67,72.6,-0.09632585661209218
