Stock,Type,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
HAVELLS,SHORT,2025-11-04 09:16:00,2025-11-04 09:31:00,1492.9,1492.5,0.02679348918213483
HAVELLS,SHORT,2025-11-10 09:16:00,2025-11-10 09:26:00,1438.3,1438.0,0.020857957310710877
HDFCAMC,LONG,2025-11-10 09:16:00,2025-11-10 09:23:00,5476.5,5455.0,-0.39258650598009676
HDFCLIFE,SHORT,2025-11-24 09:16:00,2025-11-24 09:21:00,762.25,763.35,-0.144309609708104
HEROMOTOCO,SHORT,2025-11-04 09:16:00,2025-11-04 09:34:00,5435.0,5382.5,0.9659613615455382
HEROMOTOCO,LONG,2025-11-19 09:16:00,2025-11-19 09:29:00,5905.5,5881.5,-0.40640081280162554
HEROMOTOCO,LONG,2025-11-20 09:16:00,2025-11-20 09:42:00,5950.5,6004.0,0.8990841105789429
HINDALCO,SHORT,2025-11-06 09:16:00,2025-11-06 09:28:00,782.95,789.95,-0.8940545373267769
HINDZINC,LONG,2025-11-13 09:16:00,2025-11-13 09:27:00,491.0,491.2,0.04073319755600583
IGL,LONG,2025-11-11 09:16:00,2025-11-11 09:18:00,210.91,209.55,-0.6448248067896188
INDIGO,LONG,2025-11-06 09:16:00,2025-11-06 09:31:00,5775.0,5807.0,0.5541125541125541
IRB,LONG,2025-11-17 09:16:00,2025-11-17 09:26:00,44.87,45.06,0.4234455092489522
IRB,SHORT,2025-11-20 09:16:00,2025-11-20 09:30:00,43.69,43.78,-0.2059967956054095
IRB,SHORT,2025-11-21 09:16:00,2025-11-21 09:20:00,43.77,43.86,-0.20562028786839456
IRFC,SHORT,2025-11-24 09:16:00,2025-11-24 09:18:00,118.4,119.03,-0.5320945945945907
JKCEMENT,LONG,2025-11-12 09:16:00,2025-11-12 09:26:00,5664.5,5634.5,-0.5296142642775179
JSWENERGY,SHORT,2025-11-18 09:16:00,2025-11-18 09:26:00,524.65,524.05,0.11436195558944492
KALYANKJIL,LONG,2025-11-04 09:16:00,2025-11-04 09:22:00,523.0,522.0,-0.19120458891013384
KALYANKJIL,SHORT,2025-11-18 09:16:00,2025-11-18 09:45:00,492.2,488.15,0.8228362454286899
KOTAKBANK,SHORT,2025-11-21 09:16:00,2025-11-21 09:19:00,2088.5,2095.7,-0.34474503231983805
LAURUSLABS,SHORT,2025-11-20 09:16:00,2025-11-20 09:21:00,973.15,979.65,-0.6679340286697837
LICI,LONG,2025-11-07 09:16:00,2025-11-07 09:20:00,905.7,901.45,-0.4692503036325494
LTIM,LONG,2025-11-12 09:16:00,2025-11-12 09:26:00,5806.0,5828.0,0.37891836031691356
LTIM,LONG,2025-11-19 09:16:00,2025-11-19 09:49:00,5819.0,5888.5,1.1943632926619694
LUPIN,LONG,2025-11-17 09:16:00,2025-11-17 09:29:00,2070.2,2065.5,-0.22703120471451155
MARICO,LONG,2025-11-17 09:16:00,2025-11-17 09:29:00,760.35,759.5,-0.11179062273953085
MUTHOOTFIN,LONG,2025-11-14 09:16:00,2025-11-14 09:32:00,3692.0,3696.3,0.1164680390032552
NATIONALUM,LONG,2025-11-10 09:16:00,2025-11-10 09:35:00,247.27,252.66,2.1798034537145576
NATIONALUM,LONG,2025-11-20 09:16:00,2025-11-20 09:44:00,259.87,261.55,0.6464770846961968
NCC,SHORT,2025-11-10 09:16:00,2025-11-10 09:37:00,192.71,191.48,0.6382647501427109
NHPC,SHORT,2025-11-07 09:16:00,2025-11-07 09:40:00,81.0,80.71,0.35802469135803244
OBEROIRLTY,LONG,2025-11-04 09:16:00,2025-11-04 09:20:00,1823.6,1816.9,-0.3674051327045305
OBEROIRLTY,SHORT,2025-11-19 09:16:00,2025-11-19 09:23:00,1697.0,1697.0,-0.0
ONGC,SHORT,2025-11-13 09:16:00,2025-11-13 09:28:00,249.75,249.35,0.16016016016016243
PAGEIND,SHORT,2025-11-10 09:16:00,2025-11-10 09:18:00,39570.0,39740.0,-0.429618397776093
PAYTM,LONG,2025-11-06 09:16:00,2025-11-06 09:28:00,1315.1,1310.6,-0.342179301954224
PERSISTENT,LONG,2025-11-19 09:16:00,2025-11-19 09:36:00,6138.0,6223.0,1.3848159009449332
POONAWALLA,SHORT,2025-11-14 09:16:00,2025-11-14 09:31:00,472.5,472.5,-0.0
POWERGRID,SHORT,2025-11-04 09:16:00,2025-11-04 09:33:00,280.95,279.8,0.40932550275848983
PRESTIGE,LONG,2025-11-13 09:16:00,2025-11-13 09:32:00,1740.4,1747.6,0.41369800045965394
PRESTIGE,LONG,2025-11-17 09:16:00,2025-11-17 09:24:00,1772.1,1763.7,-0.47401388183510323
RAIN,LONG,2025-11-06 09:16:00,2025-11-06 09:22:00,136.0,136.0,0.0
RAIN,LONG,2025-11-07 09:16:00,2025-11-07 09:18:00,136.44,135.28,-0.8501905599530905
RAIN,SHORT,2025-11-11 09:16:00,2025-11-11 09:26:00,126.28,126.66,-0.30091859360151685
RAIN,SHORT,2025-11-21 09:16:00,2025-11-21 09:22:00,112.4,113.0,-0.5338078291814896
RAMCOCEM,LONG,2025-11-06 09:16:00,2025-11-06 09:20:00,1042.9,1033.6,-0.8917441748969394
SAIL,SHORT,2025-11-07 09:16:00,2025-11-07 09:25:00,134.96,136.34,-1.0225251926496706
SIEMENS,LONG,2025-11-17 09:16:00,2025-11-17 09:31:00,3177.9,3160.5,-0.5475313886528869
SRF,LONG,2025-11-11 09:16:00,2025-11-11 09:17:00,2917.9,2904.2,-0.46951574762672715
SUPREMEIND,SHORT,2025-11-21 09:16:00,2025-11-21 09:36:00,3495.7,3494.6,0.0314672311697202
TATAELXSI,SHORT,2025-11-21 09:16:00,2025-11-21 09:22:00,5318.5,5347.0,-0.5358653755758203
TATASTEEL,LONG,2025-11-13 09:16:00,2025-11-13 09:35:00,182.07,182.0,-0.03844675124951567
TIINDIA,SHORT,2025-11-04 09:16:00,2025-11-04 09:20:00,3020.0,3029.9,-0.32781456953642685
TIINDIA,SHORT,2025-11-12 09:16:00,2025-11-12 09:20:00,2982.0,2991.1,-0.30516431924882326
TORNTPHARM,LONG,2025-11-10 09:16:00,2025-11-10 09:36:00,3704.8,3726.0,0.572230619736553
TORNTPOWER,SHORT,2025-11-06 09:16:00,2025-11-06 09:30:00,1290.0,1286.4,0.2790697674418534
TORNTPOWER,LONG,2025-11-11 09:16:00,2025-11-11 09:18:00,1318.7,1312.3,-0.48532645787518697
TORNTPOWER,LONG,2025-11-20 09:16:00,2025-11-20 09:17:00,1306.1,1303.0,-0.23734782941581115
UPL,LONG,2025-11-17 09:16:00,2025-11-17 09:24:00,767.35,764.4,-0.38443995569167205
VEDL,LONG,2025-11-10 09:16:00,2025-11-10 09:25:00,524.35,522.0,-0.4481739296271618
VEDL,LONG,2025-11-13 09:16:00,2025-11-13 09:40:00,528.5,531.5,0.5676442762535477
