date,total_capital,max_per_trade,min_per_trade,avg_per_trade,num_trades,daily_pnl,avg_pnl_pct
2025-10-16,78232.5,78232.5,78232.5,78232.5,1,-3020.25,-12.87
2025-10-27,37645.0,8267.5,27.5,2895.77,13,19947.5,6.11
2025-10-28,62435.0,11277.5,25.0,3672.65,17,57283.75,20.96
2025-10-29,117675.0,40910.0,60.0,5603.57,21,50382.5,20.43
2025-10-30,49265.0,12955.0,580.0,3789.62,13,29722.5,10.9
2025-10-31,76870.0,10915.0,275.0,4521.76,17,64771.25,19.03
