date,stock,strike,option_type,entry_time,entry_spot,entry_premium,exit_time,exit_spot,exit_premium,exit_reason,option_pnl_pct,option_pnl_amount,stock_pnl_pct,stock_day_pnl_pct,max_profit_pct,max_loss_pct,day_high,day_low,day_close
2025-12-15,NCC,160,CE,2025-12-15 04:00:00+00:00,160.26,9.6,2025-12-15 04:00:00+00:00,160.26,5.059999999999991,Stop Loss (-40%),-47.29166666666676,-17025.000000000033,0.0,0.5041702975227202,0.0,-47.29166666666676,162.0,159.44,161.47
2025-12-02,NESTLEIND,1250,CE,2025-12-02 04:00:00+00:00,1258.4,75.0,2025-12-02 04:02:00+00:00,1257.1,44.45416666666657,Stop Loss (-40%),-40.7277777777779,-114546.87500000035,-0.10330578512398139,0.5675459632294092,0.0,-40.7277777777779,1261.8,1251.0,1258.1
2025-12-03,NESTLEIND,1250,PE,2025-12-03 04:00:00+00:00,1237.3,75.0,2025-12-03 04:06:00+00:00,1242.6,44.46250000000009,Stop Loss (-40%),-40.71666666666655,-114515.62499999967,0.42835205689808087,-1.2569610182975302,0.0,-40.71666666666655,1258.0,1236.1,1241.2
2025-12-05,NESTLEIND,1250,CE,2025-12-05 04:00:00+00:00,1241.6,75.0,2025-12-05 04:00:00+00:00,1241.6,37.5,Stop Loss (-40%),-50.0,-140625.0,0.0,0.7595959595959669,0.0,-50.0,1249.0,1234.2,1246.9
2025-12-11,NESTLEIND,1200,CE,2025-12-11 04:00:00+00:00,1209.8,72.0,2025-12-11 04:08:00+00:00,1206.8,42.23999999999995,Stop Loss (-40%),-41.3333333333334,-111600.00000000017,-0.24797487187964953,0.628410782206045,0.0,-41.3333333333334,1220.4,1205.8,1217.0
2025-12-12,NESTLEIND,1200,CE,2025-12-12 04:00:00+00:00,1220.0,72.0,2025-12-12 09:59:00+00:00,1234.4,45.270000000000095,Time Stop,-37.12499999999987,-100237.49999999964,1.1803278688524665,1.263330598851525,0.0,-37.12499999999987,1240.0,1215.4,1234.4
2025-12-01,NHPC,75,CE,2025-12-01 04:00:00+00:00,76.64,4.5,2025-12-01 06:18:00+00:00,76.03,2.6762500000000014,Stop Loss (-40%),-40.52777777777774,-6839.0624999999945,-0.7959290187891432,1.5725330887170788,0.0,-40.52777777777774,77.59,76.02,77.51
2025-12-10,NHPC,75,CE,2025-12-10 04:00:00+00:00,79.2,4.5,2025-12-10 08:59:00+00:00,76.75,2.691875,Stop Loss (-40%),-40.18055555555555,-6780.46875,-3.093434343434347,0.4838498757682811,43.680555555555536,-40.18055555555555,79.31,76.26,76.84
2025-12-01,NMDC,75,CE,2025-12-01 04:00:00+00:00,74.55,4.5,2025-12-01 04:00:00+00:00,74.55,2.25,Stop Loss (-40%),-50.0,-8437.5,0.0,1.6846361185983827,0.0,-50.0,75.75,73.87,75.45
2025-12-02,NMDC,75,CE,2025-12-02 04:00:00+00:00,75.65,4.5,2025-12-02 07:35:00+00:00,76.34,2.6493750000000036,Stop Loss (-40%),-41.12499999999992,-6939.843749999986,0.9120951751487081,0.4359889021006716,0.0,-41.12499999999992,77.05,75.45,76.02
2025-12-03,NMDC,75,PE,2025-12-03 04:00:00+00:00,76.68,4.5,2025-12-03 04:00:00+00:00,76.68,2.25,Stop Loss (-40%),-50.0,-8437.5,0.0,-0.4186837629203289,0.0,-50.0,76.9,75.6,76.11
2025-12-05,NMDC,75,CE,2025-12-05 04:00:00+00:00,75.44,4.5,2025-12-05 04:00:00+00:00,75.44,2.6899999999999977,Stop Loss (-40%),-40.22222222222227,-6787.500000000008,0.0,0.513360537054101,0.0,-40.22222222222227,76.59,74.8,76.36
2025-12-11,NMDC,75,CE,2025-12-11 04:00:00+00:00,74.97,4.5,2025-12-11 04:00:00+00:00,74.97,2.25,Stop Loss (-40%),-50.0,-8437.5,0.0,1.1154414729203042,0.0,-50.0,75.55,74.41,75.24
2025-12-12,NMDC,75,CE,2025-12-12 04:00:00+00:00,76.06,4.5,2025-12-12 09:59:00+00:00,77.98,3.6593750000000043,Time Stop,-18.68055555555546,-3152.343749999984,2.5243229029713405,2.6187656270562036,0.0,-32.77777777777785,78.05,75.5,77.98
2025-12-03,NTPC,330,PE,2025-12-03 04:00:00+00:00,326.0,19.8,2025-12-03 09:11:00+00:00,322.1,11.813249999999979,Stop Loss (-40%),-40.337121212121325,-29950.312500000084,-1.196319018404901,-1.7325227963525802,0.0,-40.337121212121325,329.0,321.3,323.3
2025-12-09,NTPC,320,CE,2025-12-09 04:00:00+00:00,317.2,19.2,2025-12-09 04:00:00+00:00,317.2,9.6,Stop Loss (-40%),-50.0,-36000.0,0.0,0.7087730351236415,0.0,-50.0,321.4,315.55,319.7
2025-12-12,NTPC,320,CE,2025-12-12 04:00:00+00:00,324.5,19.2,2025-12-12 05:26:00+00:00,323.5,11.494666666666667,Stop Loss (-40%),-40.13194444444444,-28894.999999999996,-0.30816640986132515,0.6503561474140672,0.0,-40.13194444444444,325.95,322.9,325.0
2025-12-01,OBEROIRLTY,1650,PE,2025-12-01 04:00:00+00:00,1651.5,99.0,2025-12-01 04:00:00+00:00,1651.5,49.5,Stop Loss (-40%),-50.0,-185625.0,0.0,-1.5767131594906003,0.0,-50.0,1656.2,1612.0,1623.0
2025-12-04,OBEROIRLTY,1650,CE,2025-12-04 04:00:00+00:00,1641.0,99.0,2025-12-04 04:00:00+00:00,1641.0,49.5,Stop Loss (-40%),-50.0,-185625.0,0.0,2.0820575627679117,0.0,-50.0,1675.5,1630.6,1667.0
2025-12-05,OBEROIRLTY,1650,PE,2025-12-05 04:00:00+00:00,1678.2,99.0,2025-12-05 04:00:00+00:00,1678.2,49.5,Stop Loss (-40%),-50.0,-185625.0,0.0,-0.12040939193257075,0.0,-50.0,1706.0,1643.2,1659.0
2025-12-09,OBEROIRLTY,1600,CE,2025-12-09 04:00:00+00:00,1619.8,96.0,2025-12-09 07:24:00+00:00,1626.3,55.259999999999955,Stop Loss (-40%),-42.43750000000004,-152775.00000000017,0.40128410914927776,0.9362018724037391,0.0,-42.43750000000004,1650.0,1611.0,1628.0
