date,stock,strike,option_type,option_symbol,entry_time,entry_spot,entry_premium,exit_time,exit_spot,exit_premium,exit_reason,option_pnl_pct,option_pnl_amount,stock_pnl_pct,max_profit_pct,max_loss_pct
2025-10-27,ABB,5200,CE,ABB 5200 CE 25 NOV 25,2025-10-27 09:30:00+00:00,5182.0,153.2,2025-10-27 15:29:00+00:00,5233.0,183.0,Time Stop (15:30PM),19.451697127937344,3725.0000000000014,0.984175993824778,20.626631853785916,0.0
2025-10-29,ABB,5200,CE,ABB 5200 CE 25 NOV 25,2025-10-29 09:30:00+00:00,5232.0,191.3,2025-10-29 15:29:00+00:00,5298.0,232.1,Time Stop (15:30PM),21.327757449032923,5099.999999999998,1.261467889908257,22.922111866178774,-5.8808154730789335
2025-10-31,ABB,5300,PE,ABB 5300 PE 25 NOV 25,2025-10-31 09:30:00+00:00,5278.0,150.55,2025-10-31 15:29:00+00:00,5224.0,177.55,Time Stop (15:30PM),17.934241115908335,3375.0,-1.0231148162182644,22.052474261042835,-5.6791763533709805
2025-10-27,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-10-27 09:34:00+00:00,308.2,17.0,2025-10-27 15:29:00+00:00,310.75,18.45,Time Stop (15:30PM),8.529411764705879,4494.999999999998,0.8273848150551627,13.529411764705888,0.0
2025-10-28,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-10-28 09:30:00+00:00,314.25,4.85,2025-10-28 15:29:00+00:00,313.45,4.7,Time Stop (15:30PM),-3.0927835051546286,-464.99999999999835,-0.2545743834526687,34.020618556701045,-5.154639175257732
2025-10-31,ALKEM,5500,PE,ALKEM 5500 PE 25 NOV 25,2025-10-31 09:34:00+00:00,5503.0,125.65,2025-10-31 15:29:00+00:00,5510.5,138.5,Time Stop (15:30PM),10.226820533227214,1606.2499999999993,0.13628929674722878,16.116195781933943,-12.654198169518507
2025-10-29,AMBUJACEM,600,CE,AMBUJACEM 600 CE 25 NOV 25,2025-10-29 09:30:00+00:00,557.45,2.95,2025-10-29 11:08:00+00:00,565.4,4.6,Target (50%),55.932203389830484,1732.4999999999995,1.4261368732621638,55.932203389830484,-5.084745762711876
2025-10-30,AMBUJACEM,600,PE,AMBUJACEM 600 PE 25 NOV 25,2025-10-30 09:36:00+00:00,571.05,31.5,2025-10-30 15:29:00+00:00,568.05,32.25,Time Stop (15:30PM),2.380952380952381,787.5,-0.5253480430785396,12.380952380952376,0.0
2025-10-27,APLAPOLLO,1800,CE,APLAPOLLO 1800 CE 25 NOV 25,2025-10-27 09:33:00+00:00,1763.8,48.1,2025-10-27 15:29:00+00:00,1764.8,46.95,Time Stop (15:30PM),-2.390852390852388,-402.4999999999995,0.05669577049552104,15.592515592515593,-10.291060291060298
2025-10-28,APLAPOLLO,1800,CE,APLAPOLLO 1800 CE 25 NOV 25,2025-10-28 09:31:00+00:00,1764.8,45.65,2025-10-28 15:29:00+00:00,1779.8,50.7,Time Stop (15:30PM),11.062431544359265,1767.5000000000016,0.8499546690843155,31.32530120481929,-0.10952902519166957
