stock,date,entry_price,entry_idx,rsi,macd,signal,volume_ratio,range_position,conditions_met,conditions,exit_pct,exit_reason,pnl,capital
360ONE,2025-10-01,1031.2,285,100.0,0.6664248300874078,0.3830632183839878,3.1578947368421053,100.0,2,"{'rsi': False, 'macd': True, 'volume': np.True_, 'range': False}",2.6958882854926034,EOD,539.1776570985206,20000
ABB,2025-10-01,5233.0,520,50.0,1.5258523475413313,0.7620306956729357,0.0,90.0,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",1.6051977832982993,EOD,321.03955665965987,20000
ABCAPITAL,2025-10-01,296.4,569,45.50173010380622,0.012942732863791662,0.12597196453322382,1.9672131147540983,75.70093457943902,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",6.747638326585695,EOD,1349.527665317139,20000
ADANIENT,2025-10-01,2577.0,569,57.31153496821069,9.009670810575699,6.307286341569723,2.8496388706500326,97.81181619256017,2,"{'rsi': np.False_, 'macd': True, 'volume': np.True_, 'range': False}",5.021342646488151,EOD,1004.2685292976302,20000
ADANIPORTS,2025-10-01,1425.3,554,55.69409808811307,2.5378311208191917,2.1983850830504275,2.685185185185185,75.82089552238766,2,"{'rsi': np.False_, 'macd': True, 'volume': np.True_, 'range': False}",3.1291657896583116,EOD,625.8331579316623,20000
ALKEM,2025-10-01,5468.0,285,52.631578947368425,0.10693303407788335,-0.10957586636590755,0.0,50.71090047393365,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",0.9144111192392099,EOD,182.88222384784197,20000
AMBUJACEM,2025-10-01,575.05,454,50.0,0.3982213409180986,0.24287007249212703,0.0,71.42857142857125,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",1.9302669333101707,EOD,386.05338666203414,20000
APLAPOLLO,2025-10-01,1740.0,552,54.85436893203886,-0.178845126787337,-0.24454679224940015,0.0,93.50877192982449,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.0,EOD,0.0,20000
APOLLOHOSP,2025-10-01,7540.0,467,54.53501722158439,2.6507088744747307,0.38765377455122385,0.0,100.0,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.38461538461538464,EOD,76.92307692307693,20000
ASHOKLEY,2025-10-01,139.75,564,49.68722073279717,0.033864205914767354,-0.002063701671774147,1.6,50.0,4,"{'rsi': np.True_, 'macd': True, 'volume': np.True_, 'range': True}",-5.352415026833644,EOD,-1070.4830053667288,20000
ASIANPAINT,2025-10-01,2344.1,564,50.70422535211262,-0.5347142972304937,0.015541735086043368,3.6363636363636362,31.83760683760691,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.6364062966597066,EOD,527.2812593319413,20000
ASTRAL,2025-10-01,1373.2,533,52.65700483091788,0.5929777201213255,0.6088763516650845,4.137931034482759,46.44351464435186,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",2.825517040489348,EOD,565.1034080978695,20000
AUBANK,2025-10-01,729.3,556,48.43889384478144,-0.6582688563507872,-0.40459943265268816,2.8426395939086295,22.298850574712226,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.288907171260125,EOD,257.781434252025,20000
AUROPHARMA,2025-10-01,1105.1,527,47.935368043087934,-0.6546757049015923,-0.7073917917718335,0.0,68.63636363636321,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.0,EOD,0.0,20000
BAJFINANCE,2025-10-01,1001.0,566,54.18470418470418,0.6844756287414384,0.1177603633081276,0.0,70.14925373134324,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.30969030969030065,EOD,61.93806193806012,20000
BANDHANBNK,2025-10-01,164.45,568,49.844623990055894,-0.023700459707356458,0.004352322853144136,10.337078651685394,64.2218246869408,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.9702037093341496,EOD,394.04074186682993,20000
BANKBARODA,2025-10-01,265.05,557,50.0,0.32475293324893073,0.2379713972342579,0.0,100.0,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.4150160347104406,EOD,-83.00320694208811,20000
BDL,2025-10-01,1527.5,554,50.95693779904301,0.7863391967839561,0.9981242918091671,1.935483870967742,65.48323471400398,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",3.81014729950899,EOD,762.029459901798,20000
BEL,2025-10-01,410.5,554,51.24999999999999,-0.047108264722510285,0.033477367890674396,9.161290322580646,70.96774193548376,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.705237515225335,EOD,341.047503045067,20000
