date,stock,strike,option_type,option_symbol,entry_time,entry_spot,entry_premium,exit_time,exit_spot,exit_premium,exit_reason,option_pnl_pct,option_pnl_amount,stock_pnl_pct,max_profit_pct,max_loss_pct
2025-11-03,ABB,5200,CE,ABB 5200 CE 25 NOV 25,2025-11-03 09:30:00+00:00,5236.5,188.0,2025-11-03 15:29:00+00:00,5256.5,190.0,Time Stop (14:30PM),1.0638297872340425,250.0,0.38193449823355297,12.367021276595745,-11.170212765957446
2025-11-04,ABB,5300,PE,ABB 5300 PE 25 NOV 25,2025-11-04 09:39:00+00:00,5250.5,158.7,2025-11-04 15:29:00+00:00,5242.5,161.05,Time Stop (14:30PM),1.4807813484562211,293.75000000000284,-0.15236644129130558,9.388783868935102,-4.631379962192813
2025-11-07,ABB,5100,PE,ABB 5100 PE 25 NOV 25,2025-11-07 09:30:00+00:00,5030.0,166.45,2025-11-07 15:29:00+00:00,5011.5,173.25,Time Stop (14:30PM),4.085310904175435,850.0000000000014,-0.36779324055666,20.156203063983185,-24.481826374286566
2025-11-10,ABB,5000,CE,ABB 5000 CE 25 NOV 25,2025-11-10 09:30:00+00:00,4957.5,88.0,2025-11-10 15:29:00+00:00,4995.0,104.0,Time Stop (14:30PM),18.181818181818183,2000.0,0.7564296520423601,21.875,-7.954545454545454
2025-11-11,ABB,5000,PE,ABB 5000 PE 25 NOV 25,2025-11-11 09:30:00+00:00,4964.5,124.35,2025-11-11 15:29:00+00:00,4976.0,116.15,Time Stop (14:30PM),-6.5942903096099625,-1024.9999999999986,0.23164467720817808,9.730599115400077,-10.73582629674306
2025-11-12,ABB,5000,PE,ABB 5000 PE 25 NOV 25,2025-11-12 09:30:00+00:00,4990.5,101.65,2025-11-12 15:29:00+00:00,4933.0,131.7,Time Stop (14:30PM),29.56222331529757,3756.2499999999977,-1.1521891594028655,29.808165272995556,-4.574520413182494
2025-11-14,ABB,4900,CE,ABB 4900 CE 25 NOV 25,2025-11-14 09:31:00+00:00,4913.0,101.95,2025-11-14 15:29:00+00:00,4952.0,114.45,Time Stop (14:30PM),12.260912211868563,1562.5,0.7938123346224303,13.781265326140263,-7.062285434036294
2025-11-17,ABB,5000,CE,ABB 5000 CE 25 NOV 25,2025-11-17 09:30:00+00:00,4990.5,77.25,2025-11-17 15:29:00+00:00,5046.0,104.5,Time Stop (14:30PM),35.275080906148865,3406.25,1.1121130147279832,35.663430420711975,-15.857605177993527
2025-11-20,ABB,5100,CE,ABB 5100 CE 25 NOV 25,2025-11-20 09:30:00+00:00,5117.5,62.5,2025-11-20 15:29:00+00:00,5143.0,59.0,Time Stop (14:30PM),-5.6000000000000005,-437.5,0.4982901807523205,37.440000000000005,-29.439999999999998
2025-11-21,ABB,5100,PE,ABB 5100 PE 25 NOV 25,2025-11-21 09:30:00+00:00,5120.0,34.55,2025-11-21 10:21:00+00:00,5082.0,51.85,Target (50%),50.07235890014473,2162.5000000000005,-0.7421875,50.07235890014473,-7.380607814761209
2025-11-24,ABB,5100,PE,ABB 5100 PE 25 NOV 25,2025-11-24 09:33:00+00:00,5086.0,35.5,2025-11-24 09:53:00+00:00,5063.0,54.3,Target (50%),52.95774647887323,2349.9999999999995,-0.4522217852929611,52.95774647887323,0.0
2025-11-25,ABB,5000,CE,ABB 5000 CE 25 NOV 25,2025-11-25 09:45:00+00:00,5049.5,60.7,2025-11-25 15:29:00+00:00,5074.0,62.0,Time Stop (14:30PM),2.1416803953871453,162.49999999999966,0.48519655411426876,35.09060955518945,-25.86490939044481
2025-11-03,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-03 09:31:00+00:00,332.5,35.2,2025-11-03 15:29:00+00:00,334.6,36.55,Time Stop (14:30PM),3.835227272727256,4184.999999999983,0.6315789473684279,7.954545454545446,-7.670454545454552
2025-11-04,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-11-04 09:38:00+00:00,335.65,0.8,2025-11-04 15:29:00+00:00,331.7,0.85,Time Stop (14:30PM),6.249999999999992,154.9999999999998,-1.1768210934008607,18.74999999999999,-12.50000000000001
2025-11-06,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-11-06 09:35:00+00:00,329.35,0.9,2025-11-06 15:29:00+00:00,327.6,1.05,Time Stop (14:30PM),16.666666666666668,465.00000000000006,-0.5313496280552603,33.33333333333333,-11.111111111111107
2025-11-07,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-07 09:44:00+00:00,323.4,26.5,2025-11-07 13:34:00+00:00,334.15,44.75,Target (50%),68.86792452830188,56575.0,3.3240568954854672,68.86792452830188,0.0
