date,stock,strike,option_type,option_symbol,entry_time,entry_spot,entry_premium,exit_time,exit_spot,exit_premium,exit_reason,option_pnl_pct,option_pnl_amount,stock_pnl_pct,max_profit_pct,max_loss_pct
2025-11-07,ABB,5100,PE,ABB 5100 PE 25 NOV 25,2025-11-07 09:30:00+00:00,5030.0,166.45,2025-11-07 14:30:00+00:00,5005.0,163.5,Time Stop (14:30PM),-1.7723039951937452,-368.7499999999986,-0.4970178926441352,20.156203063983185,-24.481826374286566
2025-11-11,ABB,5000,PE,ABB 5000 PE 25 NOV 25,2025-11-11 09:30:00+00:00,4964.5,124.35,2025-11-11 14:30:00+00:00,4970.0,115.9,Time Stop (14:30PM),-6.7953357458785595,-1056.2499999999986,0.11078658475173733,9.730599115400077,-8.484117410534779
2025-11-17,ABB,5000,CE,ABB 5000 CE 25 NOV 25,2025-11-17 09:30:00+00:00,4990.5,77.25,2025-11-17 14:30:00+00:00,5015.0,86.05,Time Stop (14:30PM),11.391585760517795,1099.9999999999995,0.4909327722673079,24.789644012944994,-15.857605177993527
2025-11-20,ABB,5100,CE,ABB 5100 CE 25 NOV 25,2025-11-20 09:30:00+00:00,5117.5,62.5,2025-11-20 14:30:00+00:00,5160.5,77.0,Time Stop (14:30PM),23.200000000000003,1812.5,0.8402540302882266,37.440000000000005,-1.1200000000000045
2025-11-03,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-03 09:31:00+00:00,332.5,35.2,2025-11-03 14:30:00+00:00,334.85,37.55,Time Stop (14:30PM),6.676136363636346,7284.999999999983,0.7067669172932399,7.954545454545446,-7.670454545454552
2025-11-06,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-11-06 09:35:00+00:00,329.35,0.9,2025-11-06 14:30:00+00:00,327.1,0.95,Time Stop (14:30PM),5.555555555555548,154.9999999999998,-0.6831638074996204,33.33333333333333,-11.111111111111107
2025-11-10,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-11-10 09:30:00+00:00,336.0,0.6,2025-11-10 14:30:00+00:00,335.55,0.6,Time Stop (14:30PM),0.0,0.0,-0.13392857142856804,16.666666666666664,-8.333333333333323
2025-11-11,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-11-11 09:31:00+00:00,329.8,0.85,2025-11-11 10:10:00+00:00,324.7,1.3,Target (50%),52.941176470588246,1395.0000000000002,-1.5463917525773263,52.941176470588246,0.0
2025-11-12,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-12 15:19:00+00:00,331.65,31.5,2025-11-12 15:29:00+00:00,331.3,30.05,Time Stop (14:30PM),-4.603174603174601,-4494.999999999998,-0.1055329413538266,0.0,-4.603174603174601
2025-11-13,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-13 09:38:00+00:00,330.85,31.65,2025-11-13 14:30:00+00:00,332.6,35.0,Time Stop (14:30PM),10.584518167456562,10385.000000000004,0.5289406075260692,12.480252764612963,-0.7898894154818327
2025-11-14,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-14 10:53:00+00:00,333.8,32.5,2025-11-14 14:30:00+00:00,331.4,31.55,Time Stop (14:30PM),-2.923076923076921,-2944.9999999999977,-0.7189934092270923,0.0,-2.923076923076921
2025-11-18,ABCAPITAL,300,PE,ABCAPITAL 300 PE 25 NOV 25,2025-11-18 09:30:00+00:00,332.8,0.3,2025-11-18 14:30:00+00:00,334.55,0.25,Time Stop (14:30PM),-16.666666666666664,-154.99999999999997,0.5258413461538461,16.666666666666664,-33.33333333333333
2025-11-24,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-24 09:47:00+00:00,328.0,26.75,2025-11-24 14:30:00+00:00,331.45,32.0,Time Stop (14:30PM),19.626168224299064,16275.0,1.0518292682926795,19.626168224299064,0.0
2025-11-25,ABCAPITAL,300,CE,ABCAPITAL 300 CE 25 NOV 25,2025-11-25 09:51:00+00:00,335.8,37.25,2025-11-25 14:30:00+00:00,343.65,44.9,Time Stop (14:30PM),20.53691275167785,23714.999999999996,2.3377010125074347,20.53691275167785,0.0
2025-11-19,ADANIENT,2400,PE,ADANIENT 2400 PE 25 NOV 25,2025-11-19 09:30:00+00:00,2434.0,19.2,2025-11-19 14:30:00+00:00,2439.4,13.4,Time Stop (14:30PM),-30.208333333333332,-1792.1999999999996,0.22185702547247704,17.968749999999996,-33.85416666666667
2025-11-20,ADANIENT,2500,CE,ADANIENT 2500 CE 25 NOV 25,2025-11-20 09:30:00+00:00,2467.9,22.95,2025-11-20 11:37:00+00:00,2450.8,13.65,Stop (-40%),-40.52287581699346,-2873.7,-0.6928967948458167,13.289760348583881,-40.52287581699346
