date,stock,strategy,rsi,range_position,entry_price,option_type,pnl,exit_reason,exit_pct
2025-12-01,ABB,A_CE_RANGE,48.854961832061065,60.3448275862069,5204.5,CE,-26.899798251513115,EOD,-0.13449899125756556
2025-12-01,ADANIENSOL,A_CE_RANGE,50.0,54.564315352696944,1008.55,CE,311.33805959050216,EOD,1.5566902979525108
2025-12-01,ADANIGREEN,A_CE_RANGE,53.846153846153854,59.885386819484346,1053.0,CE,296.2962962962946,EOD,1.481481481481473
2025-12-01,ADANIPORTS,A_CE_RANGE,52.518703241895246,60.14851485148524,1555.0,CE,-154.34083601286173,EOD,-0.7717041800643086
2025-12-01,APOLLOHOSP,A_CE_RANGE,50.0,63.829787234042556,7447.0,CE,-590.8419497784342,EOD,-2.954209748892171
2025-12-01,ASHOKLEY,A_CE_RANGE,50.0,50.55762081784362,158.14,CE,65.76451245732119,EOD,0.32882256228660595
2025-12-01,AXISBANK,A_CE_RANGE,50.0,51.681957186544544,1291.7,CE,-346.8297592320212,EOD,-1.734148796160106
2025-12-01,BANKBARODA,A_CE_RANGE,54.15430267062317,85.07462686567166,300.55,CE,66.5446681084678,EOD,0.33272334054233904
2025-12-01,CAMS,A_CE_RANGE,50.0,62.166809974204554,3986.1,CE,-276.9624444946179,EOD,-1.3848122224730894
2025-12-01,CGPOWER,A_CE_RANGE,53.59361135758658,56.50557620817842,681.85,CE,-225.85612671408805,EOD,-1.1292806335704402
2025-12-01,CIPLA,A_CE_RANGE,50.0,68.62745098039207,1552.0,CE,-335.0515463917526,EOD,-1.675257731958763
2025-12-01,CUMMINSIND,A_CE_RANGE,50.0,74.33217189314719,4559.9,CE,140.35395513059498,EOD,0.7017697756529749
2025-12-01,CYIENT,A_CE_RANGE,50.0,97.5,1159.0,CE,510.7851596203608,EOD,2.553925798101804
2025-12-01,DABUR,A_CE_RANGE,50.0,63.3027522935779,524.0,CE,-225.19083969465993,EOD,-1.1259541984732997
2025-12-01,DRREDDY,A_CE_RANGE,49.429657794676665,76.26459143968822,1272.6,CE,-3.1431714600002847,EOD,-0.015715857300001423
2025-12-01,EICHERMOT,A_CE_RANGE,49.73464746019712,51.13350125944584,7203.0,CE,180.4803554074691,EOD,0.9024017770373455
2025-12-01,HDFCBANK,A_CE_RANGE,50.0,54.849498327759164,1020.0,CE,-254.90196078431373,EOD,-1.2745098039215685
2025-12-01,HEROMOTOCO,A_CE_RANGE,51.37844611528821,54.90196078431373,6321.0,CE,50.624901123239994,EOD,0.2531245056162
2025-12-01,HINDZINC,A_CE_RANGE,46.077348066298306,51.16959064327479,503.65,CE,345.47801052318255,EOD,1.727390052615913
2025-12-01,IEX,A_CE_RANGE,43.902439024390404,76.72413793103466,147.21,CE,432.03586712859266,EOD,2.1601793356429635
2025-12-01,IIFL,A_CE_RANGE,46.97508896797144,62.834224598930334,591.55,CE,240.0473332769888,EOD,1.2002366663849442
2025-12-01,INDIANB,A_CE_RANGE,42.72727272727196,62.29050279329604,887.55,CE,-40.56109514956802,EOD,-0.20280547574784008
2025-12-01,INOXWIND,A_CE_RANGE,53.396524486571906,57.93450881612121,135.61,CE,79.64014453210876,EOD,0.39820072266054385
2025-12-01,IREDA,A_CE_RANGE,50.0,59.42028985507216,144.95,CE,-364.2635391514297,EOD,-1.8213176957571484
2025-12-01,ITC,A_CE_RANGE,44.65811965811967,68.22916666666661,406.45,CE,-24.603272235207285,EOD,-0.12301636117603643
2025-12-01,JINDALSTEL,A_CE_RANGE,50.0,68.852459016393,1060.1,CE,3.773228940671122,EOD,0.01886614470335561
2025-12-01,JUBLFOOD,A_CE_RANGE,47.04336399474375,68.30985915492967,612.0,CE,-91.50326797385472,EOD,-0.4575163398692736
2025-12-01,KALYANKJIL,A_CE_RANGE,50.0,53.505535055350926,515.45,CE,-186.24502861577966,EOD,-0.9312251430788984
2025-12-01,KFINTECH,A_CE_RANGE,48.39857651245554,50.87719298245634,1098.2,CE,101.98506647240774,EOD,0.5099253323620387
2025-12-01,KOTAKBANK,A_CE_RANGE,53.55862775217618,70.5479452054798,2178.9,CE,-135.84836385332216,EOD,-0.6792418192666108
2025-12-01,KPITTECH,A_CE_RANGE,50.0,63.522012578616504,1250.7,CE,479.73135044375147,EOD,2.3986567522187574
2025-12-01,LAURUSLABS,A_CE_RANGE,47.1584038694075,57.40740740740724,1036.3,CE,447.7467914696569,EOD,2.2387339573482845
2025-12-01,LTF,A_CE_RANGE,50.0,54.54545454545463,312.85,CE,-115.07112034521771,EOD,-0.5753556017260886
2025-12-01,LTIM,A_CE_RANGE,51.55555555555555,60.73298429319372,6184.5,CE,-187.56568841458483,EOD,-0.9378284420729242
2025-12-01,MARICO,A_CE_RANGE,54.536489151873795,81.88679245283036,726.6,CE,-244.9766033581087,EOD,-1.2248830167905436
2025-12-01,MAZDOCK,A_CE_RANGE,53.50819672131148,80.40638606676345,2721.4,CE,-252.8110531344201,EOD,-1.2640552656721005
2025-12-01,MCX,A_CE_RANGE,50.0,67.38351254480287,10370.0,CE,-370.2989392478303,EOD,-1.8514946962391514
2025-12-01,MOTHERSON,A_CE_RANGE,50.0,54.959785522788074,118.0,CE,-406.7796610169501,EOD,-2.0338983050847506
2025-12-01,NATIONALUM,A_CE_RANGE,54.06824146981633,74.40000000000055,268.3,CE,-290.7193440178887,EOD,-1.4535967200894435
2025-12-01,NAUKRI,A_CE_RANGE,49.75984630163305,55.74712643678158,1355.5,CE,663.9616377720399,EOD,3.3198081888601996
2025-12-01,NBCC,A_CE_RANGE,50.0,59.37500000000012,118.65,CE,-77.53898019384879,EOD,-0.3876949009692439
