date,stock,sector_change,stock_change,rsi,pnl,exit_reason,exit_pct
2025-10-03,HINDZINC,1.7805383022774373,1.7805383022774373,42.35262199165991,56.9568755085426,EOD,0.284784377542713
2025-10-03,VEDL,1.7805383022774373,1.4735936323545156,25.733339158322906,-16.959932160270395,EOD,-0.08479966080135198
2025-10-03,NATIONALUM,1.7805383022774373,3.37995337995338,43.43690795744057,-117.2491544532141,EOD,-0.5862457722660706
2025-10-03,NMDC,1.7805383022774373,0.7309750685289157,43.1099223977021,0.0,EOD,0.0
2025-10-03,JSWSTEEL,1.7805383022774373,1.0644795393072197,32.28825616866905,86.333419666753,EOD,0.431667098333765
2025-10-03,TATASTEEL,1.7805383022774373,3.1465619795384203,32.64190710483,-27.68006458681842,EOD,-0.1384003229340921
2025-10-03,SAIL,1.7805383022774373,0.7776049766718591,39.39836389037366,-288.0658436214045,EOD,-1.4403292181070224
2025-10-03,JINDALSTEL,1.7805383022774373,1.4111006585136407,39.96852539930685,-37.10575139146568,EOD,-0.1855287569573284
2025-10-08,HINDZINC,0.7433051624070822,0.7433051624070822,59.1280248628406,-448.7568223165564,EOD,-2.243784111582782
2025-10-08,VEDL,0.7433051624070822,1.0171646535282923,58.97666229617403,-478.2882315921954,EOD,-2.391441157960977
2025-10-08,NATIONALUM,0.7433051624070822,3.60302544121017,70.11502840633186,-435.37896553249493,EOD,-2.176894827662475
2025-10-08,NMDC,0.7433051624070822,0.49673202614378487,61.789250843839355,-301.76899063475463,EOD,-1.508844953173773
2025-10-08,TATASTEEL,0.7433051624070822,0.8662790697674472,64.30099624898897,-297.42348262148147,EOD,-1.4871174131074072
2025-10-09,HINDZINC,3.2520325203252036,3.2520325203252036,61.01717927773181,385.82677165354147,EOD,1.9291338582677076
2025-10-09,VEDL,3.2520325203252036,1.247357293868917,52.89210912361768,492.795990812281,EOD,2.463979954061405
2025-10-09,NATIONALUM,3.2520325203252036,1.3087843833185397,60.434978241341774,199.69345303262796,EOD,0.9984672651631398
2025-10-09,NMDC,3.2520325203252036,2.4447640214407174,66.7245834005758,234.8136804492056,EOD,1.174068402246028
2025-10-09,JSWSTEEL,3.2520325203252036,2.3472949389179836,74.47683062637721,-30.693153721547986,EOD,-0.15346576860773994
2025-10-09,TATASTEEL,3.2520325203252036,1.7246368424098724,60.00075523461379,100.13085281902434,EOD,0.5006542640951217
2025-10-09,SAIL,3.2520325203252036,1.5151515151515151,50.24015955950102,746.2686567164178,EOD,3.731343283582089
2025-10-09,JINDALSTEL,3.2520325203252036,0.8985252466061072,47.20914933216437,112.283418836515,EOD,0.561417094182575
2025-10-13,HINDZINC,0.9030704394942805,0.9030704394942805,44.82520890273454,294.3516308671431,EOD,1.4717581543357154
2025-10-13,NATIONALUM,0.9030704394942805,0.9641255605381192,49.83665720061742,190.09549189429146,EOD,0.9504774594714573
2025-10-15,HINDZINC,0.5500982318271141,0.5500982318271141,54.79992765903891,93.78663540445397,EOD,0.4689331770222699
